Factor,Subject,Options,AvgMarksFail,StudentPercentFail,AvgMarksTop,StudentPercentTop,,
Play Games,Social,Once a month,25.1,0.0756,85.1,0.0534,,
Play Games,Social,Never,24.47,0.0943,84.95,0.0505,,
,,,,,,,,
Play Games,Maths,Every day,23.23,0.6253,86.97,0.7061,,
Play Games,Maths,Once a week,23.16,0.2,86.95,0.1728,,
Play Games,Maths,Once a month,23.12,0.0821,86.79,0.0525,,
Play Games,Maths,Never,22.5,0.0926,86.73,0.0686,,
,,,,,,,,
Play Games,Reading,Every day,21.54,0.6372,87.23,0.6413,,
Play Games,Reading,Once a week,21.9,0.1888,87.67,0.2111,,
Play Games,Reading,Once a month,21.71,0.0741,86.81,0.0916,,
Play Games,Reading,Never,21.17,0.0999,87.33,0.056,,
,,,,,,,,
Play Games,Science,Every day,24.81,0.6249,84.96,0.7298,,
Play Games,Science,Once a week,25.09,0.194,85.02,0.1801,,
Play Games,Science,Once a month,24.95,0.0805,83.75,0.045,,
Play Games,Science,Never,24.11,0.1006,85.31,0.045,,
,,,,,,,,
Read Other Books,Social,Yes,25.24,0.7749,85,0.81,,
Read Other Books,Social,No,24.21,0.2251,85.01,0.19,,
,,,,,,,,
Read Other Books,Maths,Yes,23.39,0.8038,87.04,0.8191,,
Read Other Books,Maths,No,22.71,0.1962,86.63,0.1809,,
,,,,,,,,
Read Other Books,Reading,Yes,21.85,0.7497,87.31,0.8886,,
Read Other Books,Reading,No,21.2,0.2503,87.08,0.1114,,
,,,,,,,,
Read Other Books,Science,Yes,25.15,0.7836,84.79,0.7941,,
Read Other Books,Science,No,24.17,0.2164,85.94,0.2059,,
,,,,,,,,
Watch TV,Social,Every day,24.94,0.6653,85.17,0.6306,,
Watch TV,Social,Once a week,25.09,0.2086,84.62,0.2136,,
Watch TV,Social,Once a month,24.5,0.0421,85.59,0.0462,,
Watch TV,Social,Never,24.17,0.084,84.75,0.1097,,
,,,,,,,,
Watch TV,Maths,Every day,23.22,0.6784,87.06,0.6,,
Watch TV,Maths,Once a week,23.12,0.2047,86.8,0.2643,,
Watch TV,Maths,Once a month,22.86,0.0408,86.02,0.0503,,
Watch TV,Maths,Never,22.57,0.0762,86.79,0.0853,,
,,,,,,,,
Watch TV,Reading,Every day,21.64,0.644,87.28,0.6983,,
Watch TV,Reading,Once a week,21.68,0.2104,87.37,0.2116,,
Watch TV,Reading,Once a month,21.15,0.0473,87.24,0.0401,,
Watch TV,Reading,Never,21.13,0.0982,87.11,0.05,,
,,,,,,,,
Watch TV,Science,Every day,24.86,0.6669,84.88,0.6534,,
Watch TV,Science,Once a week,24.91,0.2053,84.77,0.2235,,
Watch TV,Science,Once a month,24.64,0.0423,86.1,0.0331,,
Watch TV,Science,Never,24.08,0.0855,85.35,0.0899,,
,,,,,,,,
Same Language,Social,No,25.11,0.3776,85.19,0.3687,,
Same Language,Social,Yes,24.78,0.6224,85,0.6313,,
,,,,,,,,
Same Language,Maths,No,23.11,0.3745,86.99,0.3524,,
Same Language,Maths,Yes,23.15,0.6255,86.79,0.6476,,
,,,,,,,,
Same Language,Reading,No,21.83,0.4106,87.63,0.3019,,
Same Language,Reading,Yes,21.45,0.5894,87.12,0.6981,,
,,,,,,,,
Same Language,Science,No,24.98,0.3743,84.69,0.3855,,
Same Language,Science,Yes,24.71,0.6257,85.14,0.6145,,
,,,,,,,,
Read Magazine,Social,Every day,24.84,0.4229,85.02,0.5145,,
Read Magazine,Social,Once a week,25.22,0.2967,85.08,0.2486,,
Read Magazine,Social,Once a month,24.93,0.0831,85.09,0.0751,,
Read Magazine,Social,Never,24.51,0.1972,84.98,0.1618,,
,,,,,,,,
Read Magazine,Maths,Every day,23.29,0.4385,87.03,0.5339,,
Read Magazine,Maths,Once a week,23.2,0.2998,86.98,0.238,,
Read Magazine,Maths,Once a month,22.95,0.0812,86.59,0.0636,,
Read Magazine,Maths,Never,22.75,0.1805,86.46,0.1645,,
,,,,,,,,
Read Magazine,Reading,Every day,21.44,0.4142,87.21,0.5679,,
Read Magazine,Reading,Once a week,21.93,0.281,87.42,0.2675,,
Read Magazine,Reading,Once a month,21.88,0.0839,87.41,0.0657,,
Read Magazine,Reading,Never,21.29,0.2209,87.36,0.0989,,
,,,,,,,,
Read Magazine,Science,Every day,24.75,0.431,84.86,0.518,,
Read Magazine,Science,Once a week,25.11,0.2898,84.74,0.2517,,
