,STUID,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %
Maths %,0.04542401995322319,0.08495267897537175,0.015604387479028094,-0.013179368354442892,-0.010356049723318595,-0.00982921486213649,0.1090205549704274,0.015824648491734785,-0.010042011959028787,-0.0511301073533575,-0.018772941532267558,0.023459143466639226,0.05236420500299061,-0.05512552429557666,-0.06603668006798104,-0.05253545552849092,-0.033159682758237476,-0.01503906344505079,-0.032599853315251726,-0.05910112345587227,-0.13577227276017342,-0.007524559429437434,-0.016092902848540456,-0.04021584726522118,0.059928786609953925,0.023289882370896513,0.057805560303874216,0.042045947497279065,0.07205017142310548,0.043499423979583195,0.06080122279959747,0.0512866236752108,-0.010441834417731747,-0.010216024132955562,-0.005779968122680231,-0.027303114255828667,0.06060932277911766,0.03981984054839386,-0.016664944178158256,-0.019721829651693466,0.00639451878885955,0.03324356407930649,-0.00013154669938542101,-0.012860781697904233,-0.002209073570660965,0.006993640567334585,0.04074052401052269,0.03384014053918643,0.020167604360577424,0.009921992575085971,0.006031037129455535,0.004019543140986365,0.0441282608756265,0.03216949459674941,-0.04252118144631037,0.00948797663962507,-0.01708559906408746,0.039389749114967676,0.05649064311198964,1.0,0.09973267378702028,0.30731533989065846,0.35551446350809796
Reading %,0.0035662194274933313,0.007723094463010066,0.024129556796305303,-0.030956762737741082,0.11056052399561646,-0.05062324833457749,-0.19835977425910153,0.06939532077492938,0.20947159268573315,0.22314190869893122,0.15296784662312105,0.011522190410158726,-0.08352995705017459,0.12056063981753629,0.10595746505991038,0.10503671164080428,0.1813180928903636,0.14558263632018623,0.16081594347265346,0.05983648645046022,0.11532732576272987,0.06273251833770378,0.05129622982100009,0.07059080322130859,-0.05369385509032394,0.029104876202742148,-0.014877540217140823,-0.010323823349338282,-0.05197152225433726,0.008082142946940008,-0.022724548612524823,-0.01369753480366408,0.0774522480961205,0.08387525766791147,-0.12483488517757352,0.04463086431915611,0.03180407497598695,0.11673730864249014,0.08942679598720596,-0.1050037849834819,0.05776577900823217,0.03819133546485474,0.10076475614391704,0.1283028417876365,-0.06917104912813188,0.06511500195816831,0.08522579676821464,0.05075927020080154,0.08170657199854546,-0.11828300399122267,0.10880954656387981,0.04841701431411573,0.07409381648154002,0.10623721145118992,0.08467215166745283,0.1418610151168454,0.09445304532864301,0.0249735463563871,0.018376308666780496,0.09973267378702028,1.0,0.3294673223573259,0.3071894715891654
Science %,0.08201456682488992,-0.082595326077428,0.0007343266621718919,-0.039256911074134225,0.05436249848249251,0.03989074570619781,-0.07306683998994487,0.057203538234838223,0.0850965439716857,0.09276305392910268,0.08244953026282337,0.0644679085716738,-0.02796825540767586,0.0736894586499215,0.0027243606110927735,0.009462665611729638,0.050703789107503505,0.05516242391550751,0.07126942316886305,0.017017603459969447,0.04896306550268648,0.04843567821372874,0.02741955024628718,0.11647822528160796,-0.02118201868126149,0.01937880800859596,-0.0016999567922374068,-0.015553765586873311,-0.007181643255194068,0.008646539029141889,-0.005273486832281303,-0.0006764252542314846,0.03792710153913161,-0.031323132374857836,-0.11344603327340197,0.014383732065306914,0.08092959033924439,0.0867573791708778,0.1000733637436427,-0.0680374293955971,0.02270652685209344,0.045352976560306124,0.05560071982175974,0.06328390304412272,-0.055194335980291345,0.0680602144714225,0.07807656299690757,0.06122866798571976,0.05865076782267235,-0.09331011241722091,0.10548770837946886,0.07623760664598347,0.10216183420282944,0.11302683172787183,0.04363264380024529,0.0729788032055213,0.047387145594794594,0.0795815580857124,0.05672898674491996,0.30731533989065846,0.3294673223573259,1.0,0.45800355502027634
Social %,-0.05782243657262124,0.13100041357335754,0.011513734565119308,-0.05175455521300868,0.016761209853735783,0.04286519322298795,0.022069720013793082,0.028717064698626418,0.0436463119673536,0.03098202117906261,0.023197536389865846,0.04518751569418014,0.004194971172613205,0.0010456622861513222,-0.05760444280953821,-0.032816339011110994,0.04353245394851372,0.06512018751415745,0.03852651611431006,0.020024316513442483,-0.0024822048532126477,0.02986956541100465,0.03821114535405503,0.03691669816996569,-0.004591810137647171,0.027906518474639527,-0.012970255134969699,0.002508982283261338,0.02232373542373448,0.04225364382902147,0.004884656289918052,0.03387170575109709,0.05862486962573084,-0.06084519623802693,-0.0572143105356129,0.013327202303008628,0.04391645392017679,0.13380013282989583,0.0956513634530186,-0.030365308018432704,-0.017171259644762855,0.08803195506725053,0.08497662198522711,0.058867332565519626,-0.016855413273295677,0.11497853577837629,0.12904235514365642,0.10309363687701815,0.09734607205054345,-0.04313397959003375,0.10324913014043376,0.03860561969488869,0.13079780510654898,0.08017839328922903,0.0016245262489284406,0.06094958822508367,0.05583822543639148,0.054104946990823105,0.11039306898595512,0.35551446350809796,0.3071894715891654,0.45800355502027634,1.0
