,STUID,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %
Father occupation,0.02621887506956367,-0.030645624772903557,0.009998478009214395,-0.027632079124978868,0.09825589976277882,0.005629081174921797,-0.05944161052936662,0.05352436999047354,0.3062868940074119,0.20177601905983994,1.0,0.08739515102743202,-0.07108251942003747,0.11807919297559394,0.09269025563303192,0.10554639631508687,0.10211983075788757,0.10571699286632558,0.02465740847151554,0.022634515241591175,0.011400400574761776,0.05132665045105607,-0.014085181850368651,0.03133118008793412,0.006927143170991723,-0.0002874435601589164,-0.010492717330686114,0.023250365989184767,0.011347718696764953,0.003728940725320689,0.08612274948717645,0.12074912352134351,-0.04070172387835499,0.006231729258902296,0.041021059401452696,0.0326445564231827,0.030300510166543414,-0.031064142051366376,0.031791290048535106,0.009978039557670002,0.035334195154326085,0.042871383262405416,-0.017507452321514003,0.042752776677744304,0.029782127098400436,0.012728308921766442,0.03517032026577721,-0.03598324264218535,0.03699009788539538,0.018355714367235206,0.03167360486802025,0.045392592662118425,0.06180679593566628,0.06475925911502872,0.04046183884192234,0.030981737143031006,0.03241204594091793,0.06462814022599984,0.13923824979596922,0.09809938255556572,0.08622033099383379
Mother occupation,-0.020228574164892276,-0.0025218551657944983,-0.0040541447171759904,0.022318291408497774,0.0017742146880156556,0.09671710851707618,0.010127957329474142,0.03210560204797052,0.04806015043829123,0.15577629744050728,0.08739515102743202,1.0,0.026095284321205628,0.014878902234281805,0.0320669907343904,0.057749200584791216,0.030743418676286653,0.03168907390141074,0.016589602619905292,-0.0064315733178273255,0.018579678815704062,0.02905851111669381,0.00918694543633627,0.038689423384564346,0.023929688176173327,0.032152882675552184,0.018982837923823704,0.04068228895813981,0.02959994897879481,0.035117956642811324,0.03062644588389889,-0.06645815035496457,-0.026987336754339553,0.02674517952661873,0.03139656469633444,0.03561368452654354,0.03537502335743075,0.003475006163887307,0.012802206312747763,0.0451712390101002,0.04395881252214418,0.04159008625387408,0.0008395799075450988,0.033256191754796736,0.06099520323075434,0.04907280778111286,0.04670042314174132,0.010469845955738266,0.05007672228141429,0.01597067682391466,0.04902543035500625,0.04016313513871049,0.029250776072460214,0.03340582777672776,0.02525016186389232,0.04595110394843835,0.005296286231712044,0.013643266645245285,0.00770139352669359,0.017077694392090618,0.012926548018921803
Below poverty,-0.014553965939845252,0.05050139242494613,0.008137505804884228,0.02645438121305798,-0.05058560672758854,0.028648858085455108,0.09474064281773263,0.028567205532938005,-0.052182195638481595,-0.0548871199332601,-0.07108251942003747,0.026095284321205628,1.0,-0.04260632140273591,-0.04652945851306641,-0.017615554664848276,0.010896003417098746,-0.013917509988330445,-0.007660485837837502,-0.06580625321146032,-0.0005850581351636822,0.0256067383391457,0.0414642986955468,0.020742211560552025,0.02850170125152866,0.033131568238830095,0.04643389422882992,0.03319872267178402,0.03734754838531306,0.03742176530591324,0.00809894787242427,-0.019407732035036176,0.024661851532481453,-0.010642605909390673,0.013467723060810241,0.013690118955258936,0.002795544801530088,0.02209402521246931,-0.00495433156742466,0.02021365816865253,0.011885870303103537,0.001551410566366782,0.01154243839707032,0.02291300262242035,0.03170123244235071,0.03411669495518656,0.024024606201771253,0.01808826673790514,0.008675140443438631,-0.025303900384365238,0.0216077640734402,0.008992099594271325,-0.037329755763397574,-0.025935591242451907,-0.01000578288221478,0.032051510195859195,0.0814150112431065,0.010585678158149262,-0.0628963271177406,-0.018267442442448364,-0.008077961482962841
Use calculator,-0.04291788770393754,-0.046445180152421016,-0.05322630568427546,-0.021310431130222542,0.07993590755243933,0.009315153981943915,-0.0752094301295849,0.05695732582887846,0.1243799277940195,0.14439355121749117,0.11807919297559394,0.014878902234281805,-0.04260632140273591,1.0,0.42508446174902775,0.285931200719792,0.12802259308958924,0.14574340814032963,0.023763060613293027,0.09391876246922973,0.07326500044060134,0.06103027666068253,0.04431762513180434,0.07827667210700986,0.05812261723902784,0.05903002648319103,0.035176939035259834,0.058923594177461854,0.05018653336376532,0.05207107786381192,0.10413370360148037,0.1067841715082549,-0.04248326383604807,0.0731769157142898,0.06259013275099355,0.07896143592186089,0.06418867687624544,-0.02695713937939429,0.07685472150554654,0.07084762192893199,0.08796481001694471,0.09676412439552966,-0.007785306485952581,0.04814667829628442,0.0458897497863722,0.05896981789500586,0.07176330323707171,-0.02528119189598377,0.07235039234351123,0.07088907811706051,0.07773024407045903,0.08314219138631188,0.09348519139547354,0.13279154422439976,0.09893242644402049,0.0665985967388585,0.03681774472962954,0.02852655471494199,0.11984299979757215,0.07587478766836983,0.06771555498060092
Use Internet,-0.044050307887015853,-0.007737636890577067,-0.06664038489174728,-0.015298772743352796,0.052250550585252,0.035573410928243385,-0.060474527860534616,0.06055309198339363,0.09863741777850178,0.12372563483079324,0.09269025563303192,0.0320669907343904,-0.04652945851306641,0.42508446174902775,1.0,0.30939993002744975,0.08170488046055858,0.11551829231077586,0.038905136490876506,0.07889172608816812,0.09126915456377122,0.053625539791990834,0.06051322921960236,0.0898257902649749,0.09207603581542026,0.0845371664598328,0.056592181196771334,0.07360875189280561,0.08096840218325417,0.07807718844769586,0.0750015107135419,0.06551058749629471,-0.042619932013030874,0.06803986584442541,0.03507797083687026,0.09006282801090999,0.07327021185125547,-0.010658963422596009,0.07707776288497617,0.07987363047253641,0.09355628126375401,0.09020714880435682,-0.005015904828999774,0.04525675146549248,0.048124559142580764,0.05623775072532425,0.06288883480988351,-0.01906395234166449,0.07208152538154998,0.07240032135372981,0.07160626158218461,0.0713643343772987,0.07782559757748957,0.11410350988318065,0.0990753509389272,0.057739528960657836,0.019155158953485754,0.005095183642876241,0.08317059473099812,0.03071984355576379,0.029262461483508646
Use dictionary,-0.0061937934052903754,-0.08101557437380699,0.019122781631780748,-0.009537521654144223,0.07884344787882273,0.09857664515418556,-0.08331743939597892,0.07406090039536675,0.15375899217597655,0.18378442925292082,0.10554639631508687,0.057749200584791216,-0.017615554664848276,0.285931200719792,0.30939993002744975,1.0,0.20060245959650885,0.19908143336825057,0.03652588887862,0.0705151982876549,0.04279662024732301,0.08724393407269271,0.006243738536161945,0.08938101501123492,0.04000697795313013,0.04243280711196355,0.0216267425419726,0.0750024229216514,0.05001237195757237,0.04995618587001718,0.13417294046343478,0.07460427419104805,-0.05187945646285098,0.0663187373259374,0.17541175933737768,0.10045363380915395,0.08441538479468635,-0.026258481855738165,0.07644908233609952,0.09429229375277896,0.11605126902663616,0.13460668759700217,-0.01056930348126429,0.06969262991257029,0.08537516591645217,0.07466187836923076,0.1000052806587615,-0.02580065873781741,0.11440791182660354,0.05914232963512539,0.10057430583408397,0.11420691102821581,0.09403520964482483,0.16031787909162099,0.13073136773404254,0.08011526740441877,0.01767353038538156,0.04164332166013617,0.15534077985378064,0.0976086210735208,0.07617357402643568
Read other books,-0.01524238449783963,-0.024758175268329526,0.03227357921106949,0.006628794898716834,0.046984311110953414,0.03974185609896283,-0.034860471866762506,0.06273632470066669,0.12494235527436891,0.12294207788902212,0.10211983075788757,0.030743418676286653,0.010896003417098746,0.12802259308958924,0.08170488046055858,0.20060245959650885,1.0,0.463195671518256,0.03011881141626679,0.03965244593711896,0.0786313681880011,0.1051508542965768,0.011308428919245815,0.06031425671537304,0.026836005359447326,0.02594010779929037,0.019065189043790124,0.05461321623982535,0.03604939734487895,0.03370759886831561,0.15606123806621916,0.07343116495625751,-0.057548574215026335,0.04316816531915683,0.10250174442437752,0.09932317167905863,0.0784824307551567,-0.037097525601965865,0.06070729125619736,0.08921092734133418,0.09993644008103768,0.1129985946651632,-0.03512684631139675,0.06775909709386574,0.08080528264875479,0.08399503595334418,0.10344722224870379,-0.04924916833683835,0.0966229418441182,0.05478246015062274,0.09699537336937258,0.10568179427200068,0.08135424056735704,0.16220518770362907,0.15766765579873726,0.07405644101964919,0.09441684307145445,0.052381569252270783,0.15189723636577454,0.10220869989242151,0.09770533001131348
# Books,-0.06116941574182804,-0.02046063580528372,0.023844869446103655,0.002161963936087039,0.03520589870439833,0.03594495301007132,-0.04009391544986993,0.016419777385967824,0.1322660698988351,0.1440883155723572,0.10571699286632558,0.03168907390141074,-0.013917509988330445,0.14574340814032963,0.11551829231077586,0.19908143336825057,0.463195671518256,1.0,0.06320112602417899,0.11367840536339377,0.11528940697053465,0.07243483888655729,-0.0012066073301062361,0.02725564006018917,0.002641030169649054,0.0002894438325553676,0.00820143470412704,0.025447200883327453,0.01289144554669498,0.009028974701438654,0.16997271734382327,0.09669959721046502,-0.03269888228377737,0.04742149765747252,0.11914551812074599,0.09145729735958522,0.07061224156657625,-0.04414871506891102,0.08228501809563546,0.07556815019173378,0.09847683454105204,0.12591679574413753,-0.01683902484965039,0.02321339317756301,0.04231634051086075,0.0677581066601625,0.09642919838517629,-0.039202349675261726,0.07040789717581045,0.06282123061380904,0.08388000940481494,0.10995033264550337,0.06339413204106607,0.2010108959387345,0.19679077636939668,0.042064228459340006,0.06904008160653836,0.02740975171342399,0.14226015346188828,0.0744016306524628,0.07094265551201566
Distance,-0.01286876670388125,-0.016819814091779108,-0.013338766989609169,0.004260066228187542,0.027429262927320338,0.004034666336871489,-0.071999671600952,0.016984819736724485,0.03756762766534616,0.046567742493573684,0.02465740847151554,0.016589602619905292,-0.007660485837837502,0.023763060613293027,0.038905136490876506,0.03652588887862,0.03011881141626679,0.06320112602417899,1.0,0.10373436772476863,0.041004857354041455,0.041517094675957676,-0.02224829508990313,0.008553498114310531,-0.01650936999149631,-0.022078372094812244,-0.018371662494931884,0.0020819481457030214,-0.013264001490190733,-0.01649986019213389,0.03675149563161292,-0.0018383506506095806,0.01731847062811628,0.04027016726790418,0.0070760553777828045,0.018347035858138707,0.022999726010859423,0.005814926723178224,0.027072484241780815,0.0074128609641306705,0.025288294239745965,0.02355021135016862,0.015807883827047214,0.00878249526023038,0.00548247844902148,0.027002938217089312,0.02081837219202057,0.005177420073110314,0.04088036675811444,0.04359887864930658,0.03009721123894387,0.03560879868839077,-0.004610623191945361,0.018150865016563936,0.02906045093781205,0.03190224204718985,-0.0025855247042411234,-0.036184990571572914,0.026995131837692303,0.014539492252686966,0.0011169397837771835
Computer use,0.06831565250882211,-0.12807174152742012,-0.018578920001785973,-0.006399416156581696,0.006890334741104778,-0.07625308762428883,-0.19072364262600341,-0.01127348701739904,0.03431310137016168,0.11898600057173393,0.022634515241591175,-0.0064315733178273255,-0.06580625321146032,0.09391876246922973,0.07889172608816812,0.0705151982876549,0.03965244593711896,0.11367840536339377,0.10373436772476863,1.0,0.2242218630422405,0.039930129266557673,0.01567442204712454,0.035923890256281066,-0.0069856347989660375,0.008733331340745868,0.01624742029912234,0.02205579643716878,-0.0029591671443648126,0.012962341616452036,0.08175444182427379,0.019128015249859368,0.0026438902266352287,0.11888038180236898,0.017400693999825304,0.04436060565986085,0.06728851423596433,-0.009829285005905842,0.0907681838470061,0.03136058326886857,0.07233042166925602,0.08958796401029012,0.013235188951624656,0.007310757358087628,0.01191623652116353,0.02225701300615019,0.024014904230679552,-0.0005147012823525493,0.09430509576713528,0.17497267192308688,0.05061419047185452,0.07049611202772245,0.11646215306738343,0.12793806159273746,0.08730734091951595,0.023747102058731418,-0.03402346373622967,-0.08327228686331169,0.0785962274699368,0.01122128180553544,-0.004989083184455664
Library use,0.0041929669398722775,0.05314504774878666,0.012010064487008632,-0.020709106206417,0.026819506979460256,-0.04677390344212419,-0.07386228749817089,0.03677684408281902,0.03169524690797398,0.06329025267196717,0.011400400574761776,0.018579678815704062,-0.0005850581351636822,0.07326500044060134,0.09126915456377122,0.04279662024732301,0.0786313681880011,0.11528940697053465,0.041004857354041455,0.2242218630422405,1.0,0.08965467790024094,0.11568819189678728,0.09406581153798765,0.11279005602198311,0.1179306464018075,0.10509846698478541,0.09289827471197855,0.10413969620241761,0.11253721337827749,0.09389068524654229,0.025196449230684,-0.07880068163251949,0.09893756905754898,0.04284477575822388,0.11634976497784069,0.09054520840772315,-0.04667554921283216,0.08483081977680437,0.11120770699821199,0.1188807412419418,0.11197407285736932,-0.03778294034382868,0.048627584819953815,0.07293108098801378,0.12047996452283011,0.09221221187056342,-0.034680815124522354,0.11585775987219438,0.16701027368190993,0.1401298993142124,0.10967581833176793,0.06658894671409539,0.15317732644306337,0.14682695304112245,0.0620999106907161,0.0026983902706634887,0.02235702017742636,0.08476868263534723,0.05087215419440202,0.060564048654213075
Like school,0.015682802366114988,-0.014364628891803921,0.018685761203443632,0.02970042210670574,0.03856510462116059,0.035180103965752337,-0.006908270312197426,0.08351171647238168,0.055441259097083945,0.052504202507075354,0.05132665045105607,0.02905851111669381,0.0256067383391457,0.06103027666068253,0.053625539791990834,0.08724393407269271,0.1051508542965768,0.07243483888655729,0.041517094675957676,0.039930129266557673,0.08965467790024094,1.0,0.10457791687085013,0.1211994179971234,0.09687477273041857,0.09039242664010907,0.09830021264483828,0.11086448940806996,0.09835517281815728,0.09288773277422101,0.1598834888368347,0.08463665853016217,0.0050921916834349755,0.07322858994363794,0.0609622465015398,0.10770731896902919,0.10084339600841022,0.0423422164525774,0.05572540265613144,0.10143621531329497,0.0975287320305101,0.09019420808553515,0.020123627706099104,0.11210457711190237,0.11394135354105671,0.08485388464237456,0.09579348200564841,0.029099576772891947,0.10821931426412007,0.06506690126662891,0.09147404399384947,0.09550825413743562,0.09370423985665174,0.06871988245134826,0.07695451782939618,0.09131747277570236,0.09408324259399152,0.026569557742685986,0.07050158481682936,0.052384768702153674,0.04524207096267654
