,STUID,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %
Maths %,-0.006778419593529441,-0.027825870096378266,-0.02923482031379671,-0.005439691596691669,0.03840213778275883,0.00820785765791782,-0.05283364087791153,0.04390829902977934,0.06304200658780738,0.06508780239723778,0.04972454947246886,0.0038305617997042435,-0.010107516372018434,0.05180501493746493,0.03783642500596087,0.03505802239722232,0.06220516463535013,0.06904644979916388,0.06159144255463008,0.02004727455963928,0.04140502335681771,0.03135403126034478,0.04107987997508449,0.02193269431174411,0.009683834086181226,0.03692287800963034,0.013409903225754251,0.016211220210593125,0.0008921543272556268,0.0281693756140877,0.014519705516195816,0.01638208027734237,0.03206961634757419,0.03479470066999768,-0.037276785139207916,0.01143994313365664,0.032763406166580515,0.038809710492059675,0.029354608580591916,-0.02816504961887893,0.022235541598718277,0.02915719839914341,0.03782519893578468,0.0423544302504848,-0.013348268889131097,0.029911813186413387,0.032770214974754956,0.037027057925030464,0.04149536263042199,-0.028584458910033955,0.04997393274737125,0.033252223956449035,0.0494302881301796,0.04293090923319503,0.04170476876497178,0.0444729980739242,0.028643210715789305,0.042577997320280093,0.07301969628974583,1.0,0.2590845404332155,0.23076139925851402,0.21791509577485438
Reading %,0.00816606265018128,0.0037388823285988792,0.06349078829429648,-0.03582593823337271,0.06111957111467586,-0.04332395808588761,-0.1131632689623574,0.08865142657343375,0.14547235313346665,0.1556109697146644,0.10590197788807199,-0.006278314224994099,-0.059089844685999704,0.11269392399217906,0.08731058804351564,0.07158255022973196,0.12298833978975192,0.14407618637595576,0.13906137962331128,0.023807119545788107,0.10970501876714887,0.09740527530831959,0.07273793666817184,0.041737308068060315,0.014021215157632202,0.06586084293176163,0.043943507468923566,0.05247625374665549,0.001038498873339002,0.03816966432138596,0.038541983608019956,0.04619973541463952,0.06873180684243255,0.03364148751862117,-0.1235508282863544,0.05528521634411117,0.02252587996692871,0.10471399444985616,0.08342652168611454,-0.04868288446254155,0.019343005370453057,0.06419054076226287,0.07989240060736272,0.10705954129784916,-0.07792759281736743,0.08532231617735853,0.08406139691372921,0.06661741548132818,0.08873828849989984,-0.08972845302885649,0.10494210601312835,0.07149679224441269,0.09286437596399222,0.1005255636333812,0.07945166914009556,0.1259777663281154,0.09297801397909126,0.02409663260708816,0.0792349794804749,0.2590845404332155,1.0,0.3115023468692517,0.36488943428878184
Science %,0.09132292543998297,-0.07666511755575155,-0.004899536351941917,-0.010803598826389272,0.03678984590646044,0.0343926848061318,-0.06306700162180308,0.05473600709285543,0.06844480833765641,0.07327295877020279,0.0519186160655386,-0.007307216569777863,-0.008745004009962217,0.06515344816761277,0.012557557136939413,0.014245007008628447,0.06864123617741562,0.06104240323026446,0.04986250982094716,0.03270123307463362,0.08286193844626655,0.07179438801253542,0.04464137892285603,0.05749917181673204,0.0001489390461509128,0.07373701175568508,0.027030095639956075,0.01769156854158617,0.009449275667715935,0.05743487218115086,0.04822660939486322,0.0377812126509276,0.0304598476569895,0.010285048688397356,-0.08710993537643215,0.01718915404483193,0.05967535858259152,0.04381821940681426,0.05631175650206142,-0.007497134426173665,0.009910453393180006,0.048034874373643,0.05089965922110759,0.04308384913205053,-0.033052311501187155,0.05505720736431459,0.04815144500154025,0.06590961345989185,0.05464456309902539,-0.03574062046820672,0.08798172316109848,0.0662559474916962,0.09356608512969514,0.06936642232259191,0.038600707575744894,0.02918075166627651,0.03438116914777317,0.050141504302739365,0.1078591070120961,0.23076139925851402,0.3115023468692517,1.0,0.3490685527570371
Social %,0.03382054501179116,0.012653551692430735,0.03909767541402803,0.010793176172512062,0.04995167836565419,0.028336886735531915,-0.029642378847085184,0.05011681582116065,0.0877338626291054,0.05884702467257205,0.057620987008911814,-0.018827074891565477,-0.017032335819490808,0.040199491740554,0.005850492752033977,0.017397661809924005,0.04654602718449242,0.08855315024096569,0.05283483692065416,0.00036318239804169176,0.03841126181698386,0.035713865649401974,0.04323860267211865,0.0540270889199481,0.008239357183142552,0.054920914550495706,0.020689945540524952,0.024658479139990117,-0.007961482174160612,0.01966055508256363,0.017955892174883744,0.032219107433795115,0.02391465452844999,0.024141272510736347,-0.08970708641377108,0.01055693347349107,0.041459275861062315,0.08221616194845409,0.04494432558537809,-0.01019378781123816,0.006533147410077251,0.0661093376636038,0.052581034298155666,0.05801639110846364,-0.059881801190988786,0.045092059623283304,0.04367857336712918,0.05400317589719659,0.04566322598164492,-0.049539151274184824,0.07101377546916185,0.01216754956169723,0.07425878746487762,0.04796480593334782,0.05368861169417913,0.05683644625331625,0.051793195733514215,0.003800808385690358,0.07580187132047175,0.21791509577485438,0.36488943428878184,0.3490685527570371,1.0
