,STUID,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %
Maths %,0.025941453383468798,0.04783055710081077,0.008039738438553684,-0.0811914829100509,-0.02034927599422151,0.013335584185277699,0.03895856392350867,0.02309383627050371,0.041816266210682164,0.006703604985317109,0.048495361182764596,0.04314408785725272,0.0296490649753308,0.009103218348719263,-0.0313820174572541,-0.04078232279018945,0.0016909690686098592,0.05084349406382014,-0.01636408904214825,-0.03272728843092348,-0.07724661416436236,-0.0069102536292204916,0.01596927033940925,-0.02903475109872114,0.07245273654540184,0.043082823438980115,0.05706456924290765,0.054031908214517615,0.09111001918712558,0.07901064619718982,0.06396441304142005,0.07554484465508467,0.02817163100463384,0.03006754582761553,-0.03755655131258114,0.005614198572469822,0.12717977425863772,0.0792787256685979,0.04627088485639873,-0.08848738103328188,0.06454699464545374,0.06577358062391156,0.03970780748076933,0.07005108839737657,-0.00555221544163023,0.05271358910800745,0.10164685993894378,0.09165231404101674,0.07511387243818553,-0.02110964515735417,0.0742121153124599,0.036914080001640245,0.09096104350529324,0.058031961692469866,0.008229019660472656,0.0910994005783651,0.041421505476530784,0.06722116293598432,0.03641457176671033,1.0,0.24868464378814653,0.42766976812997554,0.4688512325379904
Reading %,-0.012796557670412038,0.06700170338844937,0.06602953513186541,-0.04785549538937737,0.0834054444303731,-0.05173043964960155,-0.11267124539246473,0.03780683742707515,0.15781544257969243,0.147952051882901,0.12951552948652767,-0.020734415323423176,-0.04333302019378527,0.15663443283694453,0.1279046381343006,0.11524293025872068,0.15867243719394328,0.12578355940563882,0.11280057464712047,0.012428959298871396,0.05361487643326468,0.013465234109281726,0.042112526303859484,0.0541834431583767,0.01144249749013979,0.06298688416006636,0.03843051227954144,0.043596092285260554,-0.01875586421167697,0.013326107889516112,-0.020245973493262005,0.005299205070460491,0.029489218486393576,0.08374351026279495,-0.11200197862047997,0.029287744633285977,0.040877125144878054,0.1236754800648729,0.10462718883905874,-0.039644173913166984,0.04098940800335992,0.08738919050721541,0.09709372091993056,0.1204544332412666,-0.0641481894372376,0.06557410258926734,0.08107924745532315,0.054096923918850306,0.0847936654761946,-0.10752722379504193,0.06653135053209326,0.0037305570221070434,0.08055883921787896,0.07913543225223967,0.06495489198649727,0.12828137832422615,0.07552776671363208,-0.00631676105126191,0.04381489471141198,0.24868464378814653,1.0,0.255337944911603,0.34933916655896297
Science %,0.04400643657439372,0.01584234000397096,0.0032608621492436433,-0.027807582895037992,0.04579181322664572,0.010423864805541874,0.003327200060948226,0.022484105314488967,0.065398721613324,0.041246624782506465,0.05750822781918252,0.023681881715695872,0.0007776099720147063,0.017334733096180655,0.0027050049033243086,0.0036720930888452393,0.030618051234231978,0.02827318918946901,0.014174888075934181,-0.005824050239514572,-0.043677837438614954,0.01694172953933827,0.003224118666161852,0.03384701427262346,0.010623331057572578,0.023999023056960566,0.024430062817608116,0.011073800457408956,0.023110241946158662,0.033280842659485034,0.03022822648768709,0.021632241781015027,-0.009862669321017621,0.02838261991993577,-0.03656735364533447,-0.011910931732988964,0.07849581285036562,0.03679016967726763,0.022606701102972342,-0.05254502058754409,0.023061144829396977,0.017359137956598672,0.029354285003410165,0.03011645999384474,-0.03604603482873977,0.03513651530492516,0.045978761452398195,0.04064890097054153,0.03879300622123643,-0.0573317664108089,0.05031990100002807,0.04145435462792222,0.05018869509162882,0.05052617990034369,-0.019168941552132356,0.02072755476088672,0.0003547275092194266,0.05883027359580621,0.0589128549768122,0.42766976812997554,0.255337944911603,1.0,0.45303731557241356
Social %,0.009389009890584043,0.062124191681616515,0.01799034231912534,-0.020697314682691426,0.04148513035150402,0.015371826329167658,0.016779250292233205,0.04525358121753836,0.08250260643027796,0.0592145447032658,0.05950923086952509,0.027207275853520837,-0.0004642019458392367,0.03503141448352922,0.014015801222918237,0.009545222537143535,0.031121870135257218,0.054912156018698866,0.037065104329028334,-0.004792022211013262,-0.0377633804173705,0.0416487157370717,0.018574046128354484,0.00890012151888083,0.03997429484768601,0.045107061237080984,0.045889298900182694,0.051421895234430116,0.03059929562480749,0.04102387813810911,0.04133880835794543,0.04658655587251195,0.001898218047172474,-0.011379192229119695,-0.07015142645114182,0.00160068029403803,0.0735774092031145,0.06405511540910723,0.02227992991155767,-0.04689683572413495,0.022271810754826177,0.038337617889625045,0.046611948382927586,0.04660004842669299,-0.055841764105477594,0.03569851155352622,0.06280961069099414,0.06399431171716627,0.07302698812904077,-0.0476548141162672,0.05514255528443037,0.025291486533422645,0.06491018830144159,0.06623601980316994,-0.012897075471741007,0.04894941873821225,0.01232683787635793,0.04211682062121376,0.11009152515157301,0.4688512325379904,0.34933916655896297,0.45303731557241356,1.0
