,STUID,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %
Father occupation,0.030208235732338773,-0.03060230005394541,0.003989998236307333,-0.014949085964799278,0.08523949734287795,0.008567076796070758,-0.03886350628848659,0.04053115073943007,0.2852857496923421,0.1796712599258605,1.0,0.08177274647983526,-0.06027506093422918,0.10637223260445798,0.10438134020457354,0.07921527073673353,0.09041603514309737,0.08313448987275604,0.08395997814370486,0.015965005841955773,0.008755812679900006,0.007595827459497848,0.04485835766102098,0.04528741046839412,-0.0077172392887999855,0.030928093550766814,0.014429551852383477,0.011847640516205486,-0.0010148496101154984,0.020692650350654724,0.015512511590412068,0.009723647324007462,0.08132384977245063,0.10180301119433957,-0.029202446678896696,0.0020206414598480955,0.0340748288319361,0.025645697373938226,0.025149549864006603,-0.011065149993849294,0.02269542613218502,0.01431760217017445,0.02586882268782336,0.032298730039225315,-0.014887570714236787,0.03650839522362991,0.02446739767899777,0.009691327358564142,0.028318294259910975,-0.015070055245560128,0.026447789251063485,0.017198714614316723,0.029142838343619738,0.03665204553862032,0.05375047443193798,0.04609689494723232,0.03269222694958718,0.029442816485569734,0.030694189141852773,0.04972454947246886,0.10590197788807199,0.0519186160655386,0.057620987008911814
Mother occupation,-0.0172319146185427,0.008972646217658038,-0.011986184229470594,0.022759291372240833,-0.004178049937000491,0.08475481964718536,0.013126023867971685,0.028771701992527918,0.034165111647046685,0.1325575299414276,0.08177274647983526,1.0,0.031893906753601826,0.010137744044082735,0.0015490710036622213,0.01450321100576979,0.05745866591818746,0.0242347139794427,0.024870771659092742,0.009493853779824007,-0.016328078384293083,0.005428830141095094,0.03391530641552329,0.013060912192282325,0.016121311503327452,0.04380606659000713,0.02633211546748149,0.030982904806635053,0.026431783315662077,0.04681186252551508,0.03733798201888892,0.04093190230724572,0.025894144495688453,-0.060120664423425854,-0.018357154279388683,0.019731023048186865,0.027816349215090058,0.032310047929690354,0.036656363573365935,0.0022968902086064787,0.013304748197364507,0.041969564011892495,0.04853868706177109,0.04486769372453116,0.005725586767944744,0.030756003845003526,0.06250151299015298,0.04334833398792199,0.04790182297481733,0.011384309086627183,0.04743982096176733,0.015194416195401609,0.04603919507120632,0.041170956382088064,0.02829340901773227,0.029424559827175196,0.02106425485747905,0.0475528033651552,-0.004965709077013042,0.0038305617997042435,-0.006278314224994099,-0.007307216569777863,-0.018827074891565477
Below poverty,-0.027703594558656657,0.048277442068067666,0.011838709841661505,0.025042767777172497,-0.047163315115560524,0.032892442523175205,0.0815131506775519,0.030723806896598316,-0.036074157351037764,-0.04233012130098481,-0.06027506093422918,0.031893906753601826,1.0,-0.037757180222638145,-0.06476810390973763,-0.04546703583958699,-0.008574011403160548,0.020699436073373108,-0.003552395208899066,-0.0046167606731119535,-0.052900308000539464,-0.005561449202026615,0.02810073509823504,-0.018075308565597404,0.03585677343831719,0.013937710477028506,0.016622018217319717,0.020154122436760215,0.039685255843893666,0.023503344214661596,0.029967888289614678,0.026036447094771095,0.0043743923038376716,-0.016221483594634132,0.021769226235827586,2.9463938147008194e-05,0.013619192071654664,0.020903703168832024,0.011529041912547883,0.019475601780544995,0.001658965013677305,0.021568949305229877,0.01807649822318019,0.011368171499113212,0.011697543295263324,0.026607140671361246,0.04214059160020372,0.02944987597036999,0.02779797559858184,0.010227819658742655,0.014988069652805802,-0.022744057847018762,0.019075640451446815,0.015906211293853466,-0.03253586420580767,-0.02433891678194108,-0.011522101491610691,0.029362550219175346,0.0852869012413154,-0.010107516372018434,-0.059089844685999704,-0.008745004009962217,-0.017032335819490808
Use calculator,-0.02054193021589311,-0.050664976731105066,-0.05753989954964018,-0.015168441344305351,0.07871151869999354,0.008795706877214563,-0.06610539296229569,0.058375672227358254,0.11202374151387232,0.13089279111967644,0.10637223260445798,0.010137744044082735,-0.037757180222638145,1.0,0.38931660808228086,0.421485937406766,0.2846795669853953,0.11839492339433927,0.12940277843818682,0.01834816803551237,0.08935314497491036,0.06892929750584931,0.05407931560580049,0.024464563525965398,0.05567161729989102,0.08136018208885602,0.06868974101104881,0.06791810940686184,0.04361914488632349,0.06463820292529954,0.05706633511304955,0.0573468436828866,0.09575149930494482,0.0992197517026602,-0.0311302846677737,0.0723623026423472,0.06786620135540235,0.07532834570631082,0.06346491056007308,-0.006171193929265595,0.06496158658893043,0.07414864781258292,0.07853021386915111,0.09082473614330927,0.00209348312953355,0.04795349555236974,0.04613784677675173,0.05903169580712085,0.07224945032529252,-0.015213927629233147,0.06329792720986638,0.06659521006030654,0.07341419466111998,0.07598527910573759,0.08995730141520172,0.12183780953054889,0.09701531220184095,0.07007268488130515,0.03418314934909915,0.05180501493746493,0.11269392399217906,0.06515344816761277,0.040199491740554
Use computer,-0.012895626872932284,-0.030575442569311818,-0.02596799918527936,-0.03306231128474339,0.0670264358908148,0.01142872494995014,-0.06284446975899678,0.047906278827051486,0.11063379313579477,0.13164918440541984,0.10438134020457354,0.0015490710036622213,-0.06476810390973763,0.38931660808228086,1.0,0.6361018901011701,0.2692241091272851,0.06985935655959472,0.10794102511508692,0.030099842301855882,0.11980130272320902,0.11894430032363788,0.03903866476547936,0.019254262303112217,0.057606152866940465,0.08632062914787636,0.08780837628398519,0.0832798704595899,0.05399366487981945,0.06887198716792357,0.08030232209303037,0.07526142320293652,0.08690394007653059,0.0966316795986186,-0.03525081141549038,0.0638029777182594,0.03422111808381842,0.07844843989254789,0.06008040625440985,-0.005814999211844836,0.08047168641532045,0.07340282283407366,0.08213445983326487,0.08088608167677372,0.00143952543708643,0.03465428818040022,0.03384437716677877,0.044799820270219934,0.049735109436217124,-0.013161446123479173,0.053708554391526865,0.0795505038165228,0.05754271842740067,0.055782197486596366,0.07090456049497652,0.12180479946795861,0.08994523602318663,0.04300686597309617,0.008536293303739582,0.03783642500596087,0.08731058804351564,0.012557557136939413,0.005850492752033977
Use Internet,-0.006127738120009104,-0.033437918646111224,-0.0701522354190839,-0.011988056245983932,0.05916667945529053,0.026807944337904184,-0.057161041171321314,0.0627821456573761,0.08615704789295385,0.107761101072745,0.07921527073673353,0.01450321100576979,-0.04546703583958699,0.421485937406766,0.6361018901011701,1.0,0.3106241938286434,0.0714510305348485,0.08970882697974927,0.027117028574471794,0.0806546080451767,0.10028833982795944,0.04662109043073059,0.023441229749353646,0.07417159603123488,0.0979726578539018,0.10654970284368032,0.09990005760120228,0.06841384445402277,0.08089930981466256,0.09528967232526679,0.08897876780328008,0.07459551683490355,0.07321093142788969,-0.031038077347941496,0.06524268355293422,0.039038851628051645,0.0900698565759089,0.07256604715413395,0.0020757213777069334,0.07768918716041406,0.08022609830128517,0.0899380163032665,0.0837374767960817,0.004214295597853209,0.04523860162408377,0.04709322218314434,0.05321606689699452,0.059982993009896325,-0.008654824203655983,0.06520572500812812,0.06914856355980138,0.06867542006002303,0.06745395332364004,0.0810020698004428,0.11162149405581853,0.09442960896154001,0.058091139730281974,0.008942622836489078,0.03505802239722232,0.07158255022973196,0.014245007008628447,0.017397661809924005
Use dictionary,0.019216508265560324,-0.10453659085973616,0.022086892684968475,-0.0058480251315969735,0.06784744341755858,0.1042477830892497,-0.07551796785693887,0.07343725892597561,0.135624309014871,0.17631822605022518,0.09041603514309737,0.05745866591818746,-0.008574011403160548,0.2846795669853953,0.2692241091272851,0.3106241938286434,1.0,0.18655935406163487,0.17856240750292923,0.022424121279250534,0.07529256318819953,0.03910949686853742,0.07634734525959991,0.07201089169042572,0.009974743774726137,0.09216632763631359,0.04037931734282701,0.046733909392617484,0.027945193962158894,0.07913652842219886,0.05242995750896561,0.054293198285406,0.11627343641079108,0.05229833718737293,-0.047111937188777285,0.05756333706382627,0.1758590924578778,0.09422377414081258,0.0805574282665557,0.00017675683813230108,0.07230085370224315,0.09587317324360906,0.10811992466644708,0.12046935241211544,5.6776559921340406e-05,0.07270561250205003,0.08124400196516424,0.07303518241467905,0.09974278328928443,-0.011903855482720003,0.10973783687585714,0.05883496224906325,0.09708124218166993,0.10315257133647973,0.09391321797232673,0.14306824440327323,0.12751936211142562,0.07822275151893877,0.005307850716364722,0.06220516463535013,0.12298833978975192,0.06864123617741562,0.04654602718449242
Read other books,-0.016194962054397872,-0.03464244992135626,0.04237504928364276,0.018982386794082075,0.037084546921129134,0.04172456819698135,-0.01769644134247257,0.0707632057590708,0.10907286823586568,0.10963755755163777,0.08313448987275604,0.0242347139794427,0.020699436073373108,0.11839492339433927,0.06985935655959472,0.0714510305348485,0.18655935406163487,1.0,0.45813024519937484,0.02322477388046911,0.02896227208781201,0.06913266368828218,0.10323434533342521,0.07897650280910118,0.0034902280820313606,0.06221085900928397,0.022869217914969497,0.021761831950819162,0.015481138958803327,0.0541082628981647,0.03430817612904622,0.028826572091917094,0.14784455785146947,0.056989390306349856,-0.04950849834932129,0.038045042918135735,0.1051480489709092,0.09219430191955638,0.08030584654551365,-0.015763959424055486,0.05271853493045664,0.08105802262083776,0.08636816072556755,0.10425470388007746,-0.03148651995085331,0.06554485998271235,0.07701734329535288,0.08198790799446329,0.09410184880117951,-0.044808863670085665,0.09112184148882828,0.054903508293874824,0.08802979884869527,0.09585739605037692,0.0745335608986435,0.14593761848317924,0.14024941690444104,0.07143444612758995,0.10212293597138875,0.06904644979916388,0.14407618637595576,0.06104240323026446,0.08855315024096569
# Books,-0.05393948465616589,-0.030042794832412897,0.03165772232843824,0.021577836372888376,0.02382150341284065,0.03456230715631419,-0.018223863078941,0.007110302828976479,0.10907042555062739,0.12392126958925447,0.08395997814370486,0.024870771659092742,-0.003552395208899066,0.12940277843818682,0.10794102511508692,0.08970882697974927,0.17856240750292923,0.45813024519937484,1.0,0.05518884987765634,0.10172481192481457,0.09969308543254597,0.0639559253001051,0.0864515598311576,-0.005096824467034405,0.022272953655960336,-0.002747403083333678,-0.0033791457204075614,0.005447550147459123,0.02264719892497666,0.013208626298805403,0.006499931766167735,0.1582559820719132,0.08467030391393598,-0.01758165736240738,0.04565985471262204,0.12180145785956077,0.08629854499010867,0.0691251157274749,-0.019586156341998565,0.06854388311329768,0.06961279216869393,0.08447610708486986,0.10574587225423533,-0.007797354141690315,0.023069133888452054,0.04049010199292772,0.06446820379303632,0.0885406812734478,-0.0266593607173905,0.06362496781306223,0.061632709120367,0.07735933050441389,0.09466546874374136,0.058447340779975425,0.1821883808828357,0.1795714113461837,0.04024778162374621,0.07864884624693069,0.06159144255463008,0.13906137962331128,0.04986250982094716,0.05283483692065416
Distance,-0.0070531744412728045,-0.007877333738078838,-0.010507047133460548,0.011803762856369903,0.027837010345539207,0.006252399863364073,-0.05755118168097005,0.015153203757806523,0.03352879635455899,0.04073590848257307,0.015965005841955773,0.009493853779824007,-0.0046167606731119535,0.01834816803551237,0.030099842301855882,0.027117028574471794,0.022424121279250534,0.02322477388046911,0.05518884987765634,1.0,0.0828395650939193,0.040461608385540616,0.039280255796177124,0.0188255903781433,-0.014673924916240906,0.009163534164441208,-0.00934378876783495,-0.017465498462101436,-0.010337585092773757,0.0029799694688983445,-0.004943466483878742,-0.010837551315854467,0.03743949118212694,-0.0026231427235094205,0.00989530189520874,0.031660293124780844,0.004921922056561134,0.0116758169446805,0.018282663440185244,0.0035220978334656425,0.015241319696937629,0.008190904772379937,0.02055731794545557,0.01693380334197245,0.010943890965070677,0.005647041755676796,0.004771222034167522,0.020848772413248763,0.010054677222944444,0.005545573117998632,0.03788038519260238,0.03866920467109976,0.02736963032658333,0.02951827984454903,-0.007986071862676015,0.009747688005671497,0.02425267983746179,0.031710572103789095,3.619111635435229e-05,0.02004727455963928,0.023807119545788107,0.03270123307463362,0.00036318239804169176
